coo: 48.867502_12.600753;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2021-05-01;--;--;--;--;--;--;--;--;--;--;--;--;10.26;78.68;20.07;89.72;29.89;101.49;39.26;114.94;47.53;131.36;53.67;152.13;56.32;177.08;54.64;202.60;49.17;224.45;41.29;241.77;32.11;255.77;22.37;267.83;12.54;278.98;3.01;289.98;-5.86;301.42;--;--;--;--;--;--;
2021-05-02;--;--;--;--;--;--;--;--;--;--;--;--;10.50;78.49;20.31;89.53;30.13;101.28;39.51;114.72;47.80;131.17;53.96;152.01;56.62;177.11;54.92;202.78;49.42;224.70;41.51;242.03;32.32;256.02;22.57;268.07;12.74;279.21;3.22;290.19;-5.63;301.61;--;--;--;--;--;--;
2021-05-03;--;--;--;--;--;--;--;--;--;--;--;--;10.74;78.31;20.54;89.33;30.36;101.08;39.76;114.51;48.07;130.97;54.25;151.89;56.92;177.14;55.19;202.96;49.67;224.96;41.73;242.30;32.52;256.28;22.76;268.31;12.94;279.43;3.43;290.40;-5.41;301.81;--;--;--;--;--;--;
2021-05-04;--;--;--;--;--;--;--;--;--;--;--;--;10.97;78.13;20.77;89.14;30.59;100.87;40.00;114.30;48.33;130.78;54.53;151.77;57.21;177.17;55.47;203.13;49.91;225.20;41.95;242.56;32.72;256.53;22.96;268.54;13.14;279.64;3.64;290.60;-5.19;301.99;--;--;--;--;--;--;
2021-05-05;--;--;--;--;--;--;--;--;--;--;--;--;11.20;77.95;20.99;88.94;30.82;100.66;40.23;114.09;48.58;130.58;54.81;151.64;57.50;177.18;55.74;203.30;50.15;225.45;42.16;242.81;32.92;256.77;23.15;268.77;13.34;279.86;3.84;290.80;-4.97;302.17;--;--;--;--;--;--;
2021-05-06;--;--;--;--;--;--;--;--;--;--;--;--;11.42;77.77;21.21;88.75;31.04;100.46;40.46;113.87;48.83;130.38;55.08;151.51;57.78;177.20;56.00;203.47;50.39;225.69;42.37;243.06;33.11;257.01;23.34;268.99;13.53;280.06;4.05;290.99;-4.75;302.35;--;--;--;--;--;--;
2021-05-07;--;--;--;--;--;--;--;--;--;--;--;--;11.64;77.60;21.42;88.56;31.25;100.25;40.69;113.66;49.08;130.18;55.35;151.38;58.05;177.21;56.26;203.63;50.62;225.92;42.58;243.31;33.31;257.24;23.53;269.21;13.72;280.27;4.25;291.18;-4.54;302.52;--;--;--;--;--;--;
2021-05-08;--;--;--;--;--;--;--;--;--;--;--;--;11.85;77.42;21.63;88.37;31.46;100.05;40.91;113.45;49.31;129.98;55.61;151.24;58.32;177.22;56.52;203.79;50.85;226.15;42.78;243.55;33.50;257.47;23.72;269.42;13.91;280.47;4.45;291.36;-4.32;302.69;--;--;--;--;--;--;
2021-05-09;--;--;--;--;--;--;--;--;--;--;--;--;12.05;77.24;21.83;88.18;31.67;99.85;41.12;113.24;49.55;129.78;55.86;151.10;58.59;177.23;56.77;203.95;51.07;226.38;42.99;243.78;33.69;257.70;23.91;269.63;14.10;280.66;4.64;291.54;-4.11;302.85;--;--;--;--;--;--;
2021-05-10;--;--;--;--;--;--;--;--;--;--;--;--;12.25;77.07;22.03;87.99;31.87;99.64;41.33;113.02;49.77;129.57;56.11;150.96;58.85;177.23;57.02;204.10;51.29;226.60;43.19;244.01;33.88;257.91;24.09;269.83;14.29;280.85;4.84;291.71;-3.91;303.01;--;--;--;--;--;--;
2021-05-11;--;--;--;--;--;--;--;--;--;--;--;--;12.45;76.90;22.22;87.81;32.06;99.44;41.54;112.81;49.99;129.37;56.36;150.82;59.11;177.22;57.26;204.24;51.51;226.81;43.38;244.24;34.06;258.13;24.27;270.03;14.47;281.03;5.03;291.88;-3.70;303.16;--;--;--;--;--;--;
2021-05-12;--;--;--;--;--;--;--;--;--;--;--;--;12.64;76.73;22.41;87.62;32.25;99.24;41.73;112.60;50.21;129.16;56.60;150.67;59.36;177.21;57.50;204.38;51.73;227.02;43.58;244.46;34.24;258.34;24.45;270.23;14.65;281.21;5.22;292.05;-3.50;303.31;--;--;--;--;--;--;
2021-05-13;--;--;--;--;--;--;--;--;--;--;--;--;12.82;76.56;22.59;87.44;32.43;99.05;41.92;112.39;50.42;128.96;56.83;150.52;59.61;177.20;57.74;204.52;51.94;227.23;43.77;244.68;34.42;258.54;24.62;270.41;14.83;281.38;5.41;292.21;-3.30;303.45;--;--;--;--;--;--;
2021-05-14;--;--;--;--;--;--;--;--;--;--;--;--;13.00;76.39;22.76;87.25;32.61;98.85;42.11;112.18;50.62;128.75;57.06;150.37;59.85;177.18;57.97;204.65;52.15;227.43;43.96;244.88;34.60;258.74;24.80;270.60;15.01;281.55;5.59;292.36;-3.11;303.59;--;--;--;--;--;--;
2021-05-15;--;--;--;--;--;--;--;--;--;--;--;--;13.18;76.22;22.93;87.07;32.78;98.65;42.29;111.97;50.82;128.55;57.28;150.22;60.09;177.16;58.20;204.77;52.35;227.62;44.14;245.09;34.77;258.93;24.97;270.77;15.18;281.72;5.77;292.51;-2.91;303.73;--;--;--;--;--;--;
2021-05-16;--;--;--;--;--;--;--;--;--;--;--;--;13.35;76.06;23.10;86.90;32.94;98.46;42.46;111.77;51.01;128.34;57.49;150.06;60.32;177.14;58.42;204.89;52.55;227.81;44.32;245.29;34.94;259.12;25.14;270.95;15.35;281.87;5.95;292.65;-2.72;303.85;--;--;--;--;--;--;
2021-05-17;--;--;--;--;--;--;--;--;--;--;--;--;13.51;75.90;23.25;86.72;33.10;98.27;42.63;111.56;51.20;128.14;57.70;149.90;60.54;177.11;58.64;205.01;52.75;227.99;44.50;245.48;35.11;259.30;25.30;271.11;15.52;282.03;6.13;292.79;-2.54;303.98;--;--;--;--;--;--;
2021-05-18;--;--;--;--;--;--;--;--;--;--;--;--;13.67;75.74;23.41;86.55;33.26;98.08;42.79;111.36;51.38;127.93;57.90;149.74;60.76;177.07;58.85;205.11;52.94;228.17;44.67;245.66;35.28;259.48;25.47;271.28;15.69;282.17;6.30;292.93;-2.35;304.10;--;--;--;--;--;--;
2021-05-19;--;--;--;--;--;--;--;--;--;--;--;--;13.82;75.58;23.55;86.37;33.40;97.89;42.95;111.16;51.55;127.73;58.10;149.58;60.97;177.04;59.06;205.22;53.13;228.34;44.85;245.84;35.44;259.65;25.63;271.43;15.85;282.32;6.47;293.06;-2.17;304.21;--;--;--;--;--;--;
2021-05-20;--;--;--;--;--;--;--;--;--;--;--;--;13.96;75.42;23.70;86.20;33.55;97.70;43.10;110.95;51.72;127.52;58.29;149.41;61.18;176.99;59.26;205.31;53.31;228.50;45.02;246.02;35.60;259.81;25.78;271.58;16.01;282.45;6.64;293.18;-2.00;304.32;--;--;--;--;--;--;
2021-05-21;--;--;--;--;--;--;--;--;--;--;--;--;14.10;75.27;23.83;86.04;33.68;97.52;43.24;110.76;51.88;127.32;58.48;149.25;61.39;176.94;59.46;205.40;53.49;228.66;45.18;246.18;35.76;259.97;25.94;271.73;16.17;282.58;6.80;293.30;-1.82;304.42;--;--;--;--;--;--;
2021-05-22;--;--;--;--;--;--;--;--;--;--;--;--;14.24;75.12;23.96;85.87;33.81;97.34;43.38;110.56;52.03;127.12;58.65;149.08;61.58;176.89;59.65;205.49;53.67;228.81;45.34;246.34;35.91;260.12;26.09;271.87;16.33;282.71;6.96;293.41;-1.65;304.52;--;--;--;--;--;--;
2021-05-23;--;--;--;--;--;--;--;--;--;--;--;--;14.37;74.97;24.08;85.71;33.94;97.16;43.51;110.37;52.18;126.91;58.83;148.91;61.77;176.84;59.84;205.57;53.84;228.95;45.50;246.50;36.06;260.26;26.24;272.00;16.48;282.83;7.12;293.52;-1.49;304.61;--;--;--;--;--;--;
2021-05-24;--;--;--;--;--;--;--;--;--;--;--;--;14.49;74.82;24.20;85.55;34.06;96.99;43.64;110.17;52.32;126.71;58.99;148.74;61.96;176.77;60.02;205.64;54.01;229.08;45.66;246.64;36.21;260.40;26.39;272.13;16.63;282.95;7.28;293.62;-1.32;304.70;--;--;--;--;--;--;
2021-05-25;--;--;--;--;--;--;--;--;--;--;--;--;14.61;74.68;24.32;85.39;34.17;96.82;43.76;109.99;52.46;126.52;59.15;148.57;62.13;176.71;60.20;205.70;54.17;229.21;45.81;246.78;36.36;260.54;26.53;272.25;16.77;283.06;7.43;293.72;-1.17;304.78;--;--;--;--;--;--;
2021-05-26;--;--;--;--;--;--;--;--;--;--;--;--;14.72;74.53;24.42;85.24;34.28;96.65;43.87;109.80;52.59;126.32;59.30;148.40;62.31;176.64;60.37;205.76;54.33;229.33;45.96;246.92;36.50;260.66;26.67;272.36;16.92;283.16;7.58;293.81;-1.01;304.86;--;--;--;--;--;--;
2021-05-27;--;--;--;--;--;--;--;--;--;--;--;--;14.83;74.39;24.52;85.09;34.38;96.48;43.98;109.62;52.71;126.13;59.45;148.23;62.47;176.57;60.54;205.81;54.49;229.45;46.10;247.04;36.64;260.78;26.81;272.47;17.05;283.26;7.72;293.90;-0.86;304.93;--;--;--;--;--;--;
2021-05-28;--;--;--;--;--;--;--;--;--;--;--;--;14.93;74.26;24.62;84.94;34.47;96.32;44.08;109.44;52.82;125.93;59.59;148.06;62.63;176.49;60.70;205.86;54.64;229.56;46.24;247.16;36.77;260.90;26.94;272.58;17.19;283.35;7.86;293.98;-0.71;305.00;-8.16;316.83;--;--;--;--;
2021-05-29;--;--;--;--;--;--;--;--;--;--;--;--;15.02;74.13;24.71;84.79;34.56;96.16;44.18;109.26;52.93;125.75;59.72;147.89;62.79;176.41;60.86;205.90;54.79;229.65;46.38;247.27;36.90;261.00;27.07;272.67;17.32;283.44;8.00;294.05;-0.57;305.07;-8.01;316.88;--;--;--;--;
2021-05-30;--;--;--;--;--;--;--;--;--;--;--;--;15.11;74.00;24.79;84.65;34.65;96.00;44.27;109.09;53.04;125.56;59.84;147.72;62.93;176.32;61.01;205.93;54.93;229.75;46.51;247.38;37.03;261.10;27.20;272.76;17.45;283.52;8.13;294.12;-0.43;305.12;-7.87;316.92;--;--;--;--;
2021-05-31;--;--;--;--;--;--;--;--;--;--;--;--;15.19;73.87;24.87;84.51;34.72;95.85;44.35;108.92;53.13;125.38;59.96;147.55;63.07;176.24;61.15;205.95;55.06;229.83;46.64;247.47;37.16;261.20;27.32;272.85;17.58;283.59;8.26;294.19;-0.30;305.18;-7.73;316.96;--;--;--;--;
2021-06-01;--;--;--;--;--;--;--;--;--;--;--;--;15.27;73.75;24.94;84.38;34.80;95.70;44.43;108.75;53.23;125.20;60.08;147.38;63.21;176.14;61.29;205.97;55.20;229.91;46.76;247.56;37.28;261.28;27.44;272.93;17.70;283.66;8.38;294.25;-0.17;305.23;-7.59;316.99;--;--;--;--;
2021-06-02;--;--;--;--;--;--;--;--;--;--;--;--;15.34;73.63;25.01;84.25;34.86;95.56;44.50;108.59;53.31;125.02;60.18;147.21;63.34;176.05;61.43;205.98;55.33;229.98;46.89;247.65;37.39;261.36;27.56;273.00;17.82;283.73;8.51;294.30;-0.04;305.27;-7.46;317.02;--;--;--;--;
2021-06-03;--;--;--;--;--;--;--;--;--;--;--;--;15.40;73.51;25.07;84.12;34.92;95.42;44.57;108.44;53.39;124.85;60.28;147.04;63.46;175.95;61.56;205.98;55.45;230.04;47.00;247.72;37.51;261.44;27.67;273.07;17.93;283.79;8.62;294.35;0.08;305.31;-7.34;317.05;--;--;--;--;
2021-06-04;--;--;--;--;--;--;--;--;--;--;--;--;15.46;73.40;25.13;84.00;34.98;95.29;44.63;108.29;53.46;124.68;60.37;146.88;63.57;175.85;61.68;205.98;55.57;230.09;47.12;247.79;37.62;261.50;27.78;273.13;18.04;283.84;8.74;294.40;0.19;305.34;-7.22;317.07;--;--;--;--;
2021-06-05;--;--;--;--;--;--;--;--;--;--;--;--;15.52;73.29;25.18;83.88;35.03;95.15;44.68;108.14;53.53;124.52;60.46;146.72;63.68;175.74;61.80;205.97;55.68;230.14;47.22;247.85;37.72;261.56;27.89;273.18;18.15;283.89;8.85;294.44;0.31;305.37;-7.11;317.08;--;--;--;--;
2021-06-06;--;--;--;--;--;--;--;--;--;--;--;--;15.57;73.18;25.22;83.77;35.07;95.03;44.73;108.00;53.59;124.36;60.54;146.56;63.78;175.64;61.91;205.96;55.79;230.17;47.33;247.90;37.83;261.62;27.99;273.23;18.25;283.93;8.95;294.47;0.41;305.40;-7.00;317.10;--;--;--;--;
2021-06-07;--;--;--;--;--;--;--;--;--;--;--;--;15.61;73.08;25.26;83.66;35.11;94.91;44.77;107.86;53.64;124.20;60.61;146.40;63.87;175.53;62.01;205.93;55.90;230.20;47.43;247.95;37.92;261.66;28.09;273.28;18.35;283.97;9.05;294.50;0.51;305.42;-6.90;317.10;--;--;--;--;
2021-06-08;--;--;--;--;--;--;--;--;--;--;--;--;15.65;72.98;25.29;83.55;35.14;94.79;44.81;107.73;53.69;124.05;60.68;146.24;63.96;175.41;62.11;205.90;55.99;230.22;47.53;247.99;38.02;261.70;28.18;273.31;18.44;284.00;9.15;294.53;0.61;305.43;-6.80;317.11;--;--;--;--;
2021-06-09;--;--;--;--;--;--;--;--;--;--;--;--;15.68;72.88;25.32;83.45;35.17;94.68;44.84;107.60;53.73;123.91;60.73;146.09;64.04;175.30;62.21;205.87;56.09;230.24;47.62;248.02;38.11;261.74;28.27;273.34;18.53;284.02;9.24;294.54;0.70;305.44;-6.70;317.11;--;--;--;--;
2021-06-10;--;--;--;--;--;--;--;--;--;--;--;--;15.70;72.79;25.34;83.35;35.19;94.57;44.87;107.48;53.76;123.77;60.79;145.94;64.11;175.19;62.29;205.82;56.18;230.24;47.70;248.04;38.19;261.76;28.35;273.37;18.62;284.04;9.32;294.56;0.79;305.45;-6.62;317.10;--;--;--;--;
2021-06-11;--;--;--;--;--;--;--;--;--;--;--;--;15.72;72.71;25.36;83.26;35.21;94.47;44.89;107.36;53.79;123.63;60.83;145.80;64.18;175.07;62.37;205.78;56.26;230.24;47.79;248.06;38.28;261.78;28.44;273.38;18.70;284.06;9.41;294.57;0.87;305.45;-6.54;317.10;--;--;--;--;
2021-06-12;--;--;--;--;--;--;--;--;--;--;--;--;15.74;72.63;25.37;83.17;35.22;94.37;44.90;107.25;53.81;123.50;60.87;145.65;64.24;174.95;62.45;205.72;56.34;230.23;47.87;248.07;38.35;261.80;28.51;273.40;18.78;284.07;9.48;294.57;0.95;305.44;-6.46;317.08;--;--;--;--;
2021-06-13;--;--;--;--;--;--;--;--;--;--;--;--;15.75;72.55;25.38;83.09;35.23;94.28;44.91;107.15;53.83;123.38;60.90;145.52;64.29;174.83;62.51;205.66;56.41;230.22;47.94;248.07;38.43;261.80;28.59;273.40;18.85;284.07;9.56;294.57;1.02;305.44;-6.39;317.07;--;--;--;--;
2021-06-14;--;--;--;--;--;--;--;--;--;--;--;--;15.75;72.48;25.38;83.01;35.23;94.19;44.91;107.05;53.84;123.26;60.93;145.38;64.34;174.71;62.58;205.59;56.48;230.19;48.01;248.06;38.49;261.80;28.65;273.40;18.92;284.07;9.62;294.56;1.09;305.42;-6.32;317.05;--;--;--;--;
2021-06-15;--;--;--;--;--;--;--;--;--;--;--;--;15.75;72.41;25.38;82.94;35.22;94.11;44.91;106.96;53.85;123.15;60.95;145.26;64.38;174.59;62.63;205.52;56.54;230.16;48.07;248.05;38.56;261.80;28.72;273.40;18.98;284.06;9.69;294.55;1.15;305.41;-6.27;317.02;--;--;--;--;
2021-06-16;--;--;--;--;--;--;--;--;--;--;--;--;15.74;72.34;25.37;82.87;35.21;94.04;44.90;106.87;53.85;123.05;60.96;145.13;64.41;174.47;62.68;205.44;56.60;230.12;48.13;248.03;38.62;261.78;28.78;273.39;19.04;284.05;9.74;294.54;1.21;305.39;-6.21;317.00;--;--;--;--;
2021-06-17;--;--;--;--;--;--;--;--;--;--;--;--;15.73;72.28;25.35;82.81;35.20;93.97;44.89;106.79;53.84;122.95;60.97;145.02;64.44;174.35;62.72;205.36;56.65;230.07;48.18;248.00;38.67;261.76;28.83;273.37;19.10;284.03;9.80;294.51;1.26;305.36;-6.17;316.97;--;--;--;--;
2021-06-18;--;--;--;--;--;--;--;--;--;--;--;--;15.72;72.23;25.33;82.75;35.18;93.91;44.87;106.72;53.83;122.86;60.97;144.90;64.46;174.24;62.76;205.27;56.69;230.02;48.23;247.97;38.72;261.74;28.88;273.35;19.15;284.01;9.84;294.49;1.30;305.33;-6.12;316.93;--;--;--;--;
2021-06-19;--;--;--;--;--;--;--;--;--;--;--;--;15.69;72.18;25.31;82.70;35.16;93.85;44.85;106.65;53.81;122.78;60.96;144.80;64.47;174.12;62.79;205.17;56.73;229.95;48.28;247.92;38.77;261.70;28.93;273.32;19.19;283.98;9.89;294.46;1.34;305.30;-6.09;316.89;--;--;--;--;
2021-06-20;--;--;--;--;--;--;--;--;--;--;--;--;15.67;72.14;25.28;82.65;35.13;93.80;44.82;106.59;53.79;122.70;60.95;144.70;64.47;174.00;62.81;205.07;56.77;229.89;48.32;247.87;38.81;261.67;28.97;273.28;19.23;283.94;9.92;294.43;1.38;305.26;-6.06;316.85;--;--;--;--;
2021-06-21;--;--;--;--;--;--;--;--;--;--;--;--;15.64;72.10;25.25;82.61;35.09;93.76;44.79;106.54;53.76;122.63;60.93;144.60;64.47;173.88;62.83;204.97;56.79;229.81;48.35;247.82;38.84;261.62;29.00;273.24;19.26;283.91;9.96;294.39;1.40;305.22;-6.04;316.81;--;--;--;--;
2021-06-22;--;--;--;--;--;--;--;--;--;--;--;--;15.60;72.06;25.21;82.58;35.05;93.72;44.75;106.49;53.72;122.57;60.90;144.51;64.46;173.77;62.84;204.86;56.82;229.73;48.38;247.76;38.87;261.57;29.03;273.20;19.29;283.86;9.98;294.34;1.43;305.18;-6.02;316.76;--;--;--;--;
2021-06-23;--;--;--;--;--;--;--;--;--;--;--;--;15.56;72.03;25.17;82.55;35.01;93.69;44.71;106.45;53.68;122.52;60.87;144.43;64.44;173.66;62.84;204.75;56.83;229.64;48.40;247.69;38.90;261.51;29.06;273.15;19.32;283.81;10.00;294.30;1.44;305.13;-6.01;316.71;--;--;--;--;
2021-06-24;--;--;--;--;--;--;--;--;--;--;--;--;15.51;72.01;25.12;82.52;34.96;93.66;44.66;106.42;53.64;122.47;60.83;144.35;64.42;173.55;62.83;204.63;56.84;229.54;48.42;247.61;38.92;261.45;29.08;273.09;19.34;283.76;10.02;294.24;1.45;305.08;-6.00;316.66;--;--;--;--;
2021-06-25;--;--;--;--;--;--;--;--;--;--;--;--;15.46;71.99;25.07;82.51;34.91;93.64;44.61;106.39;53.59;122.43;60.79;144.29;64.39;173.44;62.82;204.51;56.85;229.44;48.43;247.53;38.93;261.38;29.10;273.03;19.35;283.70;10.03;294.19;1.46;305.02;-6.00;316.60;--;--;--;--;
2021-06-26;--;--;--;--;--;--;--;--;--;--;--;--;15.40;71.97;25.01;82.49;34.85;93.63;44.55;106.38;53.53;122.40;60.74;144.22;64.35;173.34;62.81;204.39;56.84;229.33;48.44;247.44;38.94;261.30;29.11;272.96;19.36;283.64;10.03;294.13;1.46;304.96;-6.01;316.54;--;--;--;--;
2021-06-27;--;--;--;--;--;--;--;--;--;--;--;--;15.34;71.96;24.95;82.49;34.79;93.62;44.49;106.36;53.47;122.38;60.68;144.17;64.31;173.23;62.78;204.27;56.84;229.22;48.44;247.35;38.95;261.22;29.11;272.89;19.36;283.57;10.03;294.06;1.45;304.90;-6.03;316.48;--;--;--;--;
2021-06-28;--;--;--;--;--;--;--;--;--;--;--;--;15.28;71.96;24.88;82.49;34.73;93.62;44.43;106.36;53.41;122.36;60.62;144.12;64.26;173.13;62.75;204.14;56.82;229.10;48.43;247.25;38.95;261.14;29.11;272.81;19.36;283.50;10.03;293.99;1.44;304.83;-6.05;316.41;--;--;--;--;
2021-06-29;--;--;--;--;--;--;--;--;--;--;--;--;15.21;71.96;24.81;82.49;34.66;93.62;44.36;106.36;53.34;122.35;60.55;144.08;64.20;173.04;62.71;204.01;56.80;228.98;48.42;247.14;38.94;261.05;29.11;272.73;19.35;283.43;10.02;293.92;1.42;304.76;-6.07;316.34;--;--;--;--;
2021-06-30;--;--;--;--;--;--;--;--;--;--;--;--;15.13;71.97;24.74;82.50;34.58;93.64;44.28;106.37;53.26;122.35;60.48;144.05;64.14;172.95;62.67;203.87;56.78;228.85;48.40;247.03;38.93;260.95;29.09;272.64;19.34;283.35;10.00;293.85;1.40;304.69;-6.10;316.27;--;--;--;--;
2021-07-01;--;--;--;--;--;--;--;--;--;--;--;--;15.05;71.98;24.66;82.52;34.50;93.66;44.20;106.39;53.18;122.36;60.40;144.02;64.07;172.86;62.62;203.74;56.74;228.71;48.38;246.91;38.91;260.85;29.08;272.55;19.32;283.26;9.98;293.77;1.37;304.61;-6.14;316.20;--;--;--;--;
2021-07-02;--;--;--;--;--;--;--;--;--;--;--;--;14.97;72.00;24.58;82.54;34.42;93.68;44.12;106.42;53.10;122.37;60.31;144.01;63.99;172.78;62.56;203.60;56.70;228.57;48.36;246.79;38.89;260.74;29.06;272.46;19.30;283.17;9.95;293.68;1.33;304.53;-6.19;316.12;--;--;--;--;
2021-07-03;--;--;--;--;--;--;--;--;--;--;--;--;14.89;72.02;24.49;82.57;34.33;93.71;44.03;106.45;53.01;122.40;60.22;144.00;63.90;172.70;62.49;203.46;56.66;228.43;48.32;246.66;38.86;260.63;29.03;272.35;19.27;283.08;9.91;293.59;1.29;304.45;-6.24;316.05;--;--;--;--;
2021-07-04;--;--;--;--;--;--;--;--;--;--;--;--;14.79;72.05;24.40;82.60;34.25;93.75;43.94;106.49;52.91;122.43;60.13;143.99;63.81;172.62;62.42;203.33;56.60;228.28;48.28;246.52;38.83;260.51;29.00;272.25;19.23;282.98;9.87;293.50;1.24;304.36;-6.30;315.96;--;--;--;--;
2021-07-05;--;--;--;--;--;--;--;--;--;--;--;--;14.70;72.08;24.31;82.64;34.15;93.80;43.84;106.54;52.82;122.47;60.02;144.00;63.72;172.55;62.34;203.19;56.55;228.13;48.24;246.39;38.79;260.39;28.96;272.14;19.19;282.88;9.82;293.41;1.19;304.27;-6.36;315.88;--;--;--;--;
2021-07-06;--;--;--;--;--;--;--;--;--;--;--;--;14.60;72.12;24.21;82.69;34.05;93.85;43.75;106.59;52.71;122.52;59.92;144.01;63.61;172.48;62.26;203.04;56.48;227.97;48.19;246.24;38.75;260.26;28.91;272.03;19.14;282.78;9.77;293.31;1.13;304.18;-6.43;315.80;--;--;--;--;
2021-07-07;--;--;--;--;--;--;--;--;--;--;--;--;14.50;72.17;24.11;82.74;33.95;93.91;43.64;106.66;52.60;122.57;59.81;144.03;63.50;172.42;62.16;202.90;56.41;227.81;48.13;246.10;38.69;260.13;28.86;271.91;19.09;282.67;9.71;293.21;1.06;304.09;-6.51;315.71;--;--;--;--;
2021-07-08;--;--;--;--;--;--;--;--;--;--;--;--;14.39;72.22;24.01;82.80;33.85;93.98;43.54;106.73;52.49;122.64;59.69;144.06;63.39;172.37;62.06;202.76;56.33;227.65;48.06;245.94;38.64;259.99;28.81;271.79;19.03;282.56;9.65;293.11;0.99;303.99;-6.59;315.62;--;--;--;--;
2021-07-09;--;--;--;--;--;--;--;--;--;--;--;--;14.28;72.27;23.90;82.87;33.74;94.05;43.42;106.80;52.38;122.71;59.56;144.10;63.26;172.32;61.96;202.62;56.25;227.48;47.99;245.79;38.58;259.85;28.75;271.66;18.97;282.45;9.58;293.00;0.91;303.89;-6.68;315.53;--;--;--;--;
2021-07-10;--;--;--;--;--;--;--;--;--;--;--;--;14.17;72.33;23.78;82.94;33.63;94.13;43.31;106.89;52.26;122.79;59.44;144.15;63.14;172.27;61.84;202.48;56.16;227.31;47.92;245.63;38.51;259.71;28.68;271.53;18.90;282.33;9.50;292.89;0.83;303.79;-6.77;315.44;--;--;--;--;
2021-07-11;--;--;--;--;--;--;--;--;--;--;--;--;14.05;72.40;23.67;83.01;33.51;94.21;43.19;106.98;52.13;122.88;59.30;144.20;63.00;172.23;61.73;202.34;56.06;227.14;47.84;245.46;38.43;259.56;28.61;271.40;18.82;282.21;9.42;292.78;0.73;303.69;-6.88;315.34;--;--;--;--;
2021-07-12;--;--;--;--;--;--;--;--;--;--;--;--;13.93;72.48;23.55;83.10;33.39;94.30;43.07;107.08;52.00;122.97;59.16;144.26;62.86;172.20;61.60;202.21;55.95;226.97;47.75;245.30;38.35;259.41;28.53;271.26;18.74;282.08;9.33;292.66;0.64;303.58;-6.98;315.25;--;--;--;--;
2021-07-13;--;--;--;--;--;--;--;--;--;--;--;--;13.80;72.55;23.43;83.18;33.27;94.40;42.95;107.18;51.87;123.08;59.02;144.33;62.71;172.17;61.47;202.07;55.84;226.79;47.65;245.13;38.27;259.26;28.45;271.12;18.66;281.95;9.24;292.55;0.54;303.47;-7.10;315.15;--;--;--;--;
2021-07-14;--;--;--;--;--;--;--;--;--;--;--;--;13.67;72.64;23.30;83.28;33.15;94.51;42.82;107.30;51.73;123.19;58.87;144.40;62.56;172.14;61.33;201.93;55.73;226.61;47.55;244.95;38.17;259.10;28.36;270.98;18.56;281.82;9.14;292.43;0.43;303.36;-7.22;315.05;--;--;--;--;
2021-07-15;--;--;--;--;--;--;--;--;--;--;--;--;13.54;72.73;23.18;83.38;33.02;94.62;42.69;107.42;51.59;123.31;58.72;144.48;62.40;172.12;61.18;201.80;55.60;226.43;47.45;244.78;38.08;258.94;28.26;270.83;18.46;281.69;9.04;292.30;0.31;303.25;-7.35;314.95;--;--;--;--;
2021-07-16;--;--;--;--;--;--;--;--;--;--;--;--;13.41;72.82;23.04;83.49;32.89;94.74;42.55;107.54;51.45;123.43;58.56;144.57;62.23;172.11;61.03;201.67;55.47;226.25;47.34;244.60;37.97;258.77;28.16;270.68;18.36;281.55;8.93;292.18;0.19;303.13;-7.48;314.85;--;--;--;--;
2021-07-17;--;--;--;--;--;--;--;--;--;--;--;--;13.27;72.92;22.91;83.60;32.75;94.86;42.41;107.68;51.30;123.57;58.40;144.67;62.06;172.10;60.87;201.54;55.34;226.07;47.22;244.41;37.86;258.61;28.05;270.53;18.25;281.41;8.81;292.05;0.06;303.01;-7.62;314.75;--;--;--;--;
2021-07-18;--;--;--;--;--;--;--;--;--;--;--;--;13.13;73.03;22.77;83.72;32.62;94.99;42.27;107.82;51.15;123.71;58.23;144.78;61.89;172.10;60.70;201.41;55.19;225.89;47.09;244.23;37.75;258.44;27.94;270.38;18.13;281.27;8.69;291.92;-0.07;302.90;-7.76;314.64;--;--;--;--;
2021-07-19;--;--;--;--;--;--;--;--;--;--;--;--;12.98;73.14;22.63;83.84;32.48;95.13;42.13;107.96;50.99;123.85;58.06;144.89;61.71;172.11;60.53;201.28;55.04;225.70;46.96;244.04;37.63;258.26;27.82;270.22;18.01;281.13;8.56;291.79;-0.21;302.78;-7.92;314.53;--;--;--;--;
2021-07-20;--;--;--;--;--;--;--;--;--;--;--;--;12.84;73.26;22.49;83.97;32.34;95.27;41.98;108.12;50.83;124.01;57.88;145.01;61.52;172.12;60.35;201.16;54.89;225.52;46.82;243.85;37.50;258.09;27.69;270.06;17.88;280.98;8.42;291.65;-0.35;302.65;-8.07;314.43;--;--;--;--;
